EmployeeID;FirstName;LastName;OrgUnitId;EmailWork;EmailPrivate;MobilePhone;StreetAddress;ZipCode;City;Country;StartDate;EndDate;FTEFactor;Location;JobID;IdNumber;IdType;IdCountry;ActiveDirectoryLogin;ManagerID;Gender;DateOfBirth;EmploymentID
101;Nora;Klevstad;161311;nora.klevstad@acmecorp.no;nora.k@example.com;912 34 567;Storgata 12;0184;OSLO;NO;01.03.2010;;1;Oslo;5164102;01019012345;SSN;NO;nora.klevstad@acmecorp.no;;Female;01.01.1990;E40200001
102;Erik;Tangen;161311;erik.tangen@acmecorp.no;erik.t@example.com;923 45 678;Parkveien 5B;0350;OSLO;NO;15.06.2012;;1;Oslo;5164102;15069278901;SSN;NO;erik.tangen@acmecorp.no;101;Male;15.06.1992;E40200002
103;Silje;Bergersen;161311;silje.bergersen@acmecorp.no;silje.b@example.com;934 56 789;Thereses gate 44;0354;OSLO;NO;01.01.2018;;0.8;Oslo;5164103;22038567890;SSN;NO;silje.bergersen@acmecorp.no;101;Female;22.03.1985;E40200003
104;Magnus;Haugli;165200;magnus.haugli@acmecorp.no;magnus.h@example.com;945 67 890;Strandgaten 18;5013;BERGEN;NO;01.08.2009;;1;Bergen;2512102;30117745678;SSN;NO;magnus.haugli@acmecorp.no;;Male;30.11.1977;E40200004
105;Ingrid;Solheim;165200;ingrid.solheim@acmecorp.no;ingrid.s@example.com;956 78 901;Nygårdsgaten 3;5015;BERGEN;NO;01.05.2015;;1;Bergen;2512102;08058134567;SSN;NO;ingrid.solheim@acmecorp.no;104;Female;08.05.1981;E40200005
106;Lars;Ødegård;165200;lars.odegaard@acmecorp.no;lars.o@example.com;967 89 012;Fjøsangerveien 80;5054;BERGEN;NO;01.09.2020;;1;Bergen;2512103;17039423456;SSN;NO;lars.odegaard@acmecorp.no;104;Male;17.03.1994;E40200006
107;Hanna;Lunde;161556;hanna.lunde@acmecorp.no;hanna.l@example.com;978 90 123;Kirkegata 22;0153;OSLO;NO;01.04.2011;;1;Oslo;5164102;25128856789;SSN;NO;hanna.lunde@acmecorp.no;101;Female;25.12.1988;E40200007
108;Olav;Fredriksen;161437;olav.fredriksen@acmecorp.no;olav.f@example.com;989 01 234;Slottsveien 8;1383;ASKER;NO;01.11.2007;;1;Asker & Bærum;5164102;09026712345;SSN;NO;olav.fredriksen@acmecorp.no;;Male;09.02.1967;E40200008
109;Thea;Mikkelsen;161437;thea.mikkelsen@acmecorp.no;thea.m@example.com;990 12 345;Vollsveien 14;1366;LYSAKER;NO;01.06.2016;;1;Asker & Bærum;5164103;14049501234;SSN;NO;thea.mikkelsen@acmecorp.no;108;Female;14.04.1995;E40200009
110;Kristian;Aas;161873;kristian.aas@acmecorp.no;kristian.a@example.com;901 23 456;Strandvegen 30;2317;HAMAR;NO;01.02.2013;;1;Hamar;5164103;20068323456;SSN;NO;kristian.aas@acmecorp.no;;Male;20.06.1983;E40200010
